   0.000 -100.000    0.000    0.000  100.000 -100.000    0.000    0.000    0.000    0.000 
   0.000  100.000    0.000    0.000 -100.000 -100.000    0.000    0.000    0.000    0.000 
   0.002  -99.780   -0.220    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.002   97.198   -0.220    0.000   90.000 -100.000    0.000    0.000    0.000    0.000 
   0.004  -99.560   -0.440    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.004   96.822   -0.440    0.000  -81.000 -100.000    0.000   -0.000    0.000    0.000 
   0.007  -99.340   -0.660    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.007   96.644   -0.660    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.009  -99.120   -0.880    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.009   96.465   -0.880    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.011  -98.900   -1.100    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.011   96.287   -1.100    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.013  -98.680   -1.320    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.013   96.109   -1.320    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.015  -98.460   -1.540    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.015   95.931   -1.540    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.018  -98.240   -1.760    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.018   95.753   -1.760    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.020  -98.020   -1.980    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.020   95.574   -1.980    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.022  -97.800   -2.200    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.022   95.396   -2.200    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.024  -97.580   -2.420    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.024   95.218   -2.420    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.026  -97.360   -2.640    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.026   95.040   -2.640    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.029  -97.140   -2.860    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.029   94.862   -2.860    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.031  -96.920   -3.080    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.031   94.683   -3.080    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.033  -96.700   -3.300    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.033   94.505   -3.300    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.035  -96.480   -3.520    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.035   94.327   -3.520    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.037  -96.260   -3.740    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.037   94.149   -3.740    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.040  -96.040   -3.960    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.040   93.971   -3.960    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.042  -95.820   -4.180    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.042   93.792   -4.180    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.044  -95.600   -4.400    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.044   93.614   -4.400    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.046  -95.380   -4.620    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.046   93.436   -4.620    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.048  -95.160   -4.840    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.048   93.258   -4.840    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.051  -94.940   -5.060    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.051   93.080   -5.060    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.053  -94.720   -5.280    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.053   92.901   -5.280    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.055  -94.500   -5.500    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.055   92.723   -5.500    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.057  -94.280   -5.720    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.057   92.545   -5.720    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.059  -94.060   -5.940    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.059   92.367   -5.940    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.062  -93.840   -6.160    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.062   92.189   -6.160    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.064  -93.620   -6.380    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.064   92.010   -6.380    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.066  -93.400   -6.600    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.066   91.832   -6.600    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.068  -93.180   -6.820    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.068   91.654   -6.820    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.070  -92.960   -7.040    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.070   91.476   -7.040    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.073  -92.740   -7.260    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.073   91.298   -7.260    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.075  -92.520   -7.480    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.075   91.119   -7.480    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.077  -92.300   -7.700    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.077   90.941   -7.700    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.079  -92.080   -7.920    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.079   90.763   -7.920    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.081  -91.860   -8.140    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.081   90.585   -8.140    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.084  -91.640   -8.360    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
   0.084   90.407   -8.360    0.000  -81.000 -100.000    0.000    0.000    0.000    0.000 
   0.086  -91.420   -8.580    0.000  100.000 -100.000    0.000   -0.000    0.000    0.000 
